Month,Year,Categories,Amount,Page number,Type of Category
March,1855,Days time spent in court,215.5,44,Station and Court-related
March,1855,Amt Witness fees has earned in court (in $),302.92,44,Station and Court-related
March,1855,Amt fines imposed on Prisoners (in $),832,44,Station and Court-related
March,1855,Years imprisonment imposed on convicts,33,44,Station and Court-related
March,1855,Cases reported for grand jury,6,44,Station and Court-related
April,1855,Lodging (Males),156,45,Demographics
April,1855,Lodging (Females),50,45,Demographics
April,1855,Lodging (Residents),81,45,Demographics
April,1855,Lodging (Non-residents),125,45,Demographics
April,1855,Lodging (Americans),31,45,Demographics
April,1855,Lodging (Foreigners),175,45,Demographics
April,1855,Lodging (Minor),37,45,Demographics
April,1855,Arrests (Males),446,45,Demographics
April,1855,Arrests (Females),96,45,Demographics
April,1855,Arrests (Americans),93,45,Demographics
April,1855,Arrests (Foreigners),449,45,Demographics
April,1855,Arrests (Residents),341,45,Demographics
April,1855,Arrests (Non-residents),151,45,Demographics
April,1855,Arrests (Minor),80,45,Demographics
April,1855,Arrests (Commitments),290,45,Demographics
April,1855,Street Obstructions Removed,15,45,Public Service
April,1855,Sidewalks repaired,66,45,Public Service
April,1855,Water Pipes burst secured,5,45,Public Service
April,1855,Dangerous buildings reported/secured,2,45,Public Service
April,1855,Defective Street Lamps Repaired/Reported,37,45,Public Service
April,1855,Streets repair requested ,9,45,Public Service
April,1855,Dangerous buildings reported/secured,22,45,Public Service
April,1855,Stores found open and secured ,23,45,Public Service
April,1855,Fires extinguished by officers without alarms,2,45,Public Service
April,1855,Persons Rescued from Drowning,2,45,Public Service
April,1855,Rescued from a fire,2,45,Public Service
April,1855,Lost children returned,6,45,Public Service
April,1855,Intoxicated persons helped home,28,45,Public Service
April,1855,Stray Teams Put up,5,45,Public Service
April,1855,Disturbances Suppressed,131,45,Public Service
April,1855,Assaults and Battery,25,45,Offences
April,1855,Adultery,1,45,Offences
April,1855,Breaking and Entering,10,45,Offences
April,1855,Common Drunkenness (drunkards),36,45,Offences
April,1855,Common Night Walkers,17,45,Offences
April,1855,City Ordinance Violations,15,45,Offences
April,1855,Common Sellers,10,45,Offences
April,1855,Counterfeit money passing,2,45,Offences
April,1855,Drunkenness (Simple),331,45,Offences
April,1855,Disturbing the Peace,2,45,Offences
April,1855,Escaped Convicts,1,45,Offences
April,1855,Female in male attire,1,45,Offences
April,1855,Fornication,1,45,Offences
April,1855,Gaming on Sunday,7,45,Offences
April,1855,Insane,2,45,Offences
April,1855,Larceny (simple),14,45,Offences
April,1855,Larceny at a fire,14,45,Offences
April,1855,Larceny from persons etc,14,45,Offences
April,1855,Maiming,1,45,Offences
April,1855,Malicious mischief,7,45,Offences
April,1855,Noisy and disorderly persons,8,45,Offences
April,1855,Sunday Law Violations,3,45,Offences
April,1855,Stubborn & Truant Children,3,45,Offences
April,1855,Possessing sling shot,1,45,Offences
April,1855,Vagabonds,6,45,Offences
April,1855,Witnesses detained,10,45,Offences
April,1855,Amt property restored to prisoners (in $),1282.31,45,Station and Court-related
April,1855,Amt property stolen on station (in $),187,45,Station and Court-related
April,1855,Stolen Property Recovered (in $),230,45,Station and Court-related
April,1855,No. of larcenies on station,25,45,Offences
April,1855,No. of arrests for larcenies on station,23,45,Offences
April,1855,Days time spent in court,238,45,Station and Court-related
April,1855,Amt Witness fees has earned in court (in $),350.46,45,Station and Court-related
April,1855,Amt fines imposed on Prisoners (in $),1477,45,Station and Court-related
April,1855,Years imprisonment imposed on convicts,41,45,Station and Court-related
April,1855,Cases reported for grand jury,12,45,Station and Court-related
May,1855,Lodging (Males),101,46,Demographics
May,1855,Lodging (Females),56,46,Demographics
May,1855,Lodging (Residents),46,46,Demographics
May,1855,Lodging (Non-residents),114,46,Demographics
May,1855,Lodging (Americans),20,46,Demographics
May,1855,Lodging (Foreigners),137,46,Demographics
May,1855,Lodging (Minor),28,46,Demographics
May,1855,Arrests (Males),334,46,Demographics
May,1855,Arrests (Females),83,46,Demographics
May,1855,Arrests (Americans),61,46,Demographics
May,1855,Arrests (Foreigners),361,46,Demographics
May,1855,Arrests (Residents),244,46,Demographics
May,1855,Arrests (Non-residents),123,46,Demographics
May,1855,Arrests (Minor),57,46,Demographics
May,1855,Arrests (Commitments),235,46,Demographics
May,1855,Street Obstructions Removed,4,46,Public Service
May,1855,Streets repair requested ,6,46,Public Service
May,1855,Sidewalks repaired,24,46,Public Service
May,1855,Water Pipes burst secured,3,46,Public Service
May,1855,Defective Street Lamps Repaired/Reported,3,46,Public Service
May,1855,Dangerous buildings reported/secured,2,46,Public Service
May,1855,Stores found open and secured ,17,46,Public Service
May,1855,Stray Teams Put up,8,46,Public Service
May,1855,"Drains,vaults,nuisances reported",22,46,Public Service
May,1855,Intoxicated persons helped home,21,46,Public Service
May,1855,Injured persons provided for,6,46,Public Service
May,1855,Lost children returned,12,46,Public Service
May,1855,Disturbances Suppressed,122,46,Public Service
May,1855,Assaults and Battery,26,46,Offences
May,1855,Assaults on Officers,2,46,Offences
May,1855,Breaking and Entering,3,46,Offences
May,1855,Common Drunkenness (drunkards),28,46,Offences
May,1855,Common Night Walkers,11,46,Offences
May,1855,Common Sellers,4,46,Offences
May,1855,City Ordinance Violations,7,46,Offences
May,1855,Drunkenness (Simple),261,46,Offences
May,1855,Disturbing the Peace,2,46,Offences
May,1855,Idle & dissolute persons,2,46,Offences
May,1855,Larceny (simple),31,46,Offences
May,1855,Larceny from persons etc,11,46,Offences
May,1855,Malicious mischief,1,46,Offences
May,1855,Keeping Noisy & Disorderly Houses,2,46,Offences
May,1855,Keeping Houses of Ill Fame,2,46,Offences
May,1855,Noisy and disorderly persons,6,46,Offences
May,1855,Rescuing prisoners,1,46,Offences
May,1855,Robbery,2,46,Offences
May,1855,Stealing a Ride,2,46,Offences
May,1855,Sunday Law Violations,2,46,Offences
May,1855,Stubborn & Truant Children,3,46,Offences
May,1855,Vagabonds,4,46,Offences
May,1855,Witnesses detained,4,46,Offences
May,1855,Amt property restored to prisoners (in $),723.76,46,Station and Court-related
May,1855,Amt property stolen on station (in $),416.5,46,Station and Court-related
May,1855,Stolen Property Recovered (in $),382.68,46,Station and Court-related
May,1855,No. of larcenies on station,26,46,Offences
May,1855,No. of arrests for larcenies on station,23,46,Offences
May,1855,Days time spent in court,218,46,Station and Court-related
May,1855,Amt Witness fees has earned in court (in $),235.88,46,Station and Court-related
May,1855,Amt fines imposed on Prisoners (in $),944,46,Station and Court-related
May,1855,Years imprisonment imposed on convicts,"43,5/6",46,Station and Court-related
May,1855,Cases reported for grand jury,0,46,Station and Court-related
June,1855,Lodging (Males),61,47,Demographics
June,1855,Lodging (Females),56,47,Demographics
June,1855,Lodging (Residents),55,47,Demographics
June,1855,Lodging (Non-residents),64,47,Demographics
June,1855,Lodging (Americans),21,47,Demographics
June,1855,Lodging (Foreigners),98,47,Demographics
June,1855,Lodging (Minor),24,47,Demographics
June,1855,Arrests (Males),251,47,Demographics
June,1855,Arrests (Females),100,47,Demographics
June,1855,Arrests (Americans),47,47,Demographics
June,1855,Arrests (Foreigners),304,47,Demographics
June,1855,Arrests (Residents),239,47,Demographics
June,1855,Arrests (Non-residents),112,47,Demographics
June,1855,Arrests (Minor),70,47,Demographics
June,1855,Arrests (Commitments),319,47,Demographics
June,1855,Street Obstructions Removed,10,47,Public Service
June,1855,Streets repair requested ,5,47,Public Service
June,1855,Sidewalks repaired,22,47,Public Service
June,1855,Dangerous buildings reported/secured,4,47,Public Service
June,1855,Stores found open and secured ,29,47,Public Service
June,1855,"Drains,vaults,nuisances reported",34,47,Public Service
June,1855,Fires extinguished by officers without alarms,2,47,Public Service
June,1855,Stray Teams Put up,9,47,Public Service
June,1855,Lost children returned,10,47,Public Service
June,1855,Injured persons provided for,4,47,Public Service
June,1855,Disturbances Suppressed,146,47,Public Service
June,1855,Water Wasting Reported,3,47,Public Service
June,1855,Defective Street Lamps Repaired/Reported,20,47,Public Service
June,1855,Persons Rescued from Drowning,1,47,Public Service
June,1855,Rabbid Dogs Killed,1,47,Public Service
June,1855,Assaults and Battery,15,47,Offences
June,1855,Assault with deadly weapons,2,47,Offences
June,1855,Breaking and Entering,3,47,Offences
June,1855,Common Drunkenness (drunkards),12,47,Offences
June,1855,Common Night Walkers,35,47,Offences
June,1855,Drunkenness (Simple),194,47,Offences
June,1855,Disturbing the Peace,2,47,Offences
June,1855,Embezzlement,1,47,Offences
June,1855,Escaped Convicts,1,47,Offences
June,1855,Fraud,1,47,Offences
June,1855,Forgery ,1,47,Offences
June,1855,Insane,1,47,Offences
June,1855,Idle & dissolute persons,15,47,Offences
June,1855,Larceny (simple),21,47,Offences
June,1855,Larceny from persons etc,10,47,Offences
June,1855,Malicious mischief,1,47,Offences
June,1855,Noisy and disorderly persons,12,47,Offences
June,1855,Pickpockets,3,47,Offences
June,1855,Sunday Law Violations,3,47,Offences
June,1855,Vagabonds,8,47,Offences
June,1855,Witnesses detained,5,47,Offences
June,1855,Amt property restored to prisoners (in $),874.89,47,Station and Court-related
June,1855,Amt property stolen on station (in $),445.6,47,Station and Court-related
June,1855,Stolen Property Recovered (in $),464.45,47,Station and Court-related
June,1855,No. of larcenies on station,23,47,Offences
June,1855,No. of arrests for larcenies on station,21,47,Offences
June,1855,Days time spent in court,139.5,47,Station and Court-related
June,1855,Amt Witness fees has earned in court (in $),214.29,47,Station and Court-related
June,1855,Amt fines imposed on Prisoners (in $),806,47,Station and Court-related
June,1855,Years imprisonment imposed on convicts,72.5,47,Station and Court-related
June,1855,Cases reported for grand jury,13,47,Station and Court-related
July,1855,Lodging (Males),57,48,Demographics
July,1855,Lodging (Females),59,48,Demographics
July,1855,Lodging (Residents),55,48,Demographics
July,1855,Lodging (Non-residents),61,48,Demographics
July,1855,Lodging (Americans),18,48,Demographics
July,1855,Lodging (Foreigners),98,48,Demographics
July,1855,Lodging (Minor),20,48,Demographics
July,1855,Arrests (Males),343,48,Demographics
July,1855,Arrests (Females),109,48,Demographics
July,1855,Arrests (Americans),61,48,Demographics
July,1855,Arrests (Foreigners),391,48,Demographics
July,1855,Arrests (Residents),338,48,Demographics
July,1855,Arrests (Non-residents),114,48,Demographics
July,1855,Arrests (Minor),98,48,Demographics
July,1855,Arrests (Commitments),365,48,Demographics
July,1855,Street Obstructions Removed,5,48,Public Service
July,1855,Streets repair requested ,10,48,Public Service
July,1855,Sidewalks repaired,21,48,Public Service
July,1855,Dangerous buildings reported/secured,7,48,Public Service
July,1855,Stores found open and secured ,26,48,Public Service
July,1855,"Drains,vaults,nuisances reported",41,48,Public Service
July,1855,Fires extinguished by officers without alarms,3,48,Public Service
July,1855,Stray Teams Put up,7,48,Public Service
July,1855,Dangerous buildings reported/secured,1,48,Public Service
July,1855,Lost children returned,7,48,Public Service
July,1855,Injured persons provided for,9,48,Public Service
July,1855,Disturbances Suppressed,284,48,Public Service
July,1855,Assaults and Battery,39,48,Offences
